Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Accident_History,Fuel_Efficiency,Need_Maintenance,Warranty_Status,Days_To_Expiry,Age_Group,Service_Month
Truck,55518,Poor,4,8,Diesel,19685,2023-12-31,2024-11-19,First,3,16.367697300739486,1,Expired,-488,5-8 yrs,2023-12
Truck,48586,Average,2,10,Diesel,37758,2023-08-31,2025-09-29,Third,2,16.369857825036675,1,Expired,-174,Over 8 yrs,2023-08
Truck,43649,Poor,1,9,Petrol,17963,2023-06-29,2025-10-04,First,3,17.981249349669266,0,Expired,-169,Over 8 yrs,2023-06
Truck,37573,Poor,1,9,Petrol,134071,2024-02-11,2026-02-09,First,3,13.509062454786676,0,Expired,-41,Over 8 yrs,2024-02
Suv,66627,Average,1,4,Petrol,130759,2023-10-17,2025-02-07,First,1,12.106556064051864,1,Expired,-408,3-5 yrs,2023-10
Truck,74757,Good,3,3,Diesel,133394,2024-02-16,2024-06-05,Third,2,13.33983059536282,1,Expired,-655,2-3 yrs,2024-02
Motorcycle,64175,Good,5,9,Electric,10469,2023-10-15,2024-10-24,Second,2,13.18937865102377,1,Expired,-514,Over 8 yrs,2023-10
Motorcycle,77181,Poor,4,9,Petrol,111257,2023-11-01,2025-04-21,First,3,10.890056814062133,1,Expired,-335,Over 8 yrs,2023-11
Truck,48812,Good,3,1,Electric,72926,2023-08-20,2024-07-20,Second,2,17.310561417100615,1,Expired,-610,Under 1 yr,2023-08
Motorcycle,58511,Good,2,3,Electric,131090,2023-06-26,2025-03-24,Third,0,10.353898677964546,1,Expired,-363,2-3 yrs,2023-06
Motorcycle,73244,Good,5,5,Diesel,131324,2023-09-27,2024-07-02,Second,1,18.158822746507163,1,Expired,-628,3-5 yrs,2023-09
Car,72696,Average,2,2,Diesel,107864,2023-07-03,2025-08-05,First,0,19.536588717956327,0,Expired,-229,1-2 yrs,2023-07
Truck,57809,Good,2,2,Diesel,138481,2023-12-31,2025-09-15,Second,3,10.061084642926156,1,Expired,-188,1-2 yrs,2023-12
Motorcycle,47601,Good,0,3,Petrol,79744,2023-11-06,2025-05-06,Third,0,13.941041474381226,1,Expired,-320,2-3 yrs,2023-11
Motorcycle,31881,Good,4,2,Electric,60539,2023-10-26,2025-05-10,Third,0,12.018138998031931,1,Expired,-316,1-2 yrs,2023-10
Motorcycle,34015,Good,1,2,Electric,113083,2023-05-30,2024-06-12,First,1,19.246289889121925,1,Expired,-648,1-2 yrs,2023-05
Motorcycle,37195,Average,2,9,Diesel,88378,2023-04-14,2024-09-01,Third,0,11.450871950993031,1,Expired,-567,Over 8 yrs,2023-04
Van,53431,Good,3,10,Electric,64185,2023-06-15,2026-02-04,Third,3,17.001229591537264,1,Expired,-46,Over 8 yrs,2023-06
Bus,63839,Average,1,10,Petrol,127210,2023-11-17,2024-07-30,Third,0,15.679263236385978,0,Expired,-600,Over 8 yrs,2023-11
Bus,60009,Average,4,10,Electric,133665,2023-05-15,2024-10-01,First,3,16.344215392701663,1,Expired,-537,Over 8 yrs,2023-05
Motorcycle,79634,Poor,5,9,Diesel,128308,2023-12-09,2024-11-03,Third,3,12.514466045701472,1,Expired,-504,Over 8 yrs,2023-12
Motorcycle,67066,Poor,4,3,Petrol,119681,2023-09-08,2025-04-24,First,0,15.800844952376991,1,Expired,-332,2-3 yrs,2023-09
Van,57341,Average,1,1,Diesel,95703,2024-02-23,2024-05-18,Second,3,13.412834250216203,1,Expired,-673,Under 1 yr,2024-02
Truck,58631,Poor,5,8,Diesel,122883,2023-08-23,2024-08-06,Third,0,11.8992712531565,1,Expired,-593,5-8 yrs,2023-08
Van,35933,Poor,5,7,Petrol,75190,2023-09-26,2025-09-02,Third,0,17.9461340854521,1,Expired,-201,5-8 yrs,2023-09
Van,49770,Poor,5,4,Petrol,141638,2023-10-11,2026-01-10,Second,2,15.87249627542825,1,Expired,-71,3-5 yrs,2023-10
Motorcycle,55950,Poor,3,3,Electric,135675,2024-02-22,2024-10-21,Second,3,11.37386001205253,1,Expired,-517,2-3 yrs,2024-02
Car,70999,Poor,3,1,Petrol,129292,2023-05-31,2025-06-21,First,3,16.365948363560694,1,Expired,-274,Under 1 yr,2023-05
Car,75317,Poor,4,1,Electric,15487,2023-09-05,2025-05-15,Second,2,12.77614740159868,1,Expired,-311,Under 1 yr,2023-09
Truck,78018,Poor,5,6,Diesel,30682,2023-04-07,2025-04-01,Third,2,13.772926184443731,1,Expired,-355,5-8 yrs,2023-04
Suv,36869,Poor,5,5,Petrol,62035,2024-01-05,2024-07-04,First,0,17.353234060008838,1,Expired,-626,3-5 yrs,2024-01
Motorcycle,51458,Poor,4,6,Diesel,97034,2023-07-16,2026-02-12,First,1,18.952596815270844,1,Expired,-38,5-8 yrs,2023-07
Truck,61408,Poor,4,5,Diesel,127492,2024-02-28,2025-02-06,Second,0,13.99514700915299,1,Expired,-409,3-5 yrs,2024-02
Truck,70448,Average,5,4,Diesel,80546,2023-12-09,2024-11-07,Third,1,11.109995271764324,1,Expired,-500,3-5 yrs,2023-12
Van,59752,Poor,2,4,Petrol,75029,2023-12-04,2024-12-21,Second,0,15.75358033780386,1,Expired,-456,3-5 yrs,2023-12
Car,48087,Good,5,3,Petrol,101551,2023-10-11,2024-07-22,First,2,18.152572237303144,1,Expired,-608,2-3 yrs,2023-10
Van,68912,Poor,4,7,Diesel,62663,2023-05-14,2024-10-29,First,3,15.986117909313318,1,Expired,-509,5-8 yrs,2023-05
Van,42461,Poor,4,6,Electric,129207,2023-10-20,2025-09-25,Second,1,16.872000430230923,1,Expired,-178,5-8 yrs,2023-10
Truck,30742,Poor,3,3,Electric,84805,2023-10-09,2025-11-17,Third,2,14.465219495372828,1,Expired,-125,2-3 yrs,2023-10
Motorcycle,43603,Average,0,4,Diesel,135711,2023-12-29,2024-07-06,Second,2,15.960063981494756,0,Expired,-624,3-5 yrs,2023-12
Van,56422,Good,3,9,Diesel,13808,2023-07-13,2025-07-20,Second,0,11.574228905648845,0,Expired,-245,Over 8 yrs,2023-07
Bus,54305,Good,3,8,Electric,76189,2024-02-21,2025-04-21,Second,1,19.415214891998477,1,Expired,-335,5-8 yrs,2024-02
Van,44627,Poor,2,4,Petrol,59745,2023-10-19,2024-10-08,Second,0,19.267243637507903,1,Expired,-530,3-5 yrs,2023-10
Suv,76781,Poor,5,8,Petrol,70919,2023-04-12,2025-12-12,Third,1,11.692250717044162,1,Expired,-100,5-8 yrs,2023-04
Car,36238,Poor,4,3,Electric,61001,2024-02-12,2025-04-09,Third,3,17.07211948086325,1,Expired,-347,2-3 yrs,2024-02
Motorcycle,46806,Poor,2,9,Diesel,55707,2023-08-07,2024-11-13,Second,3,16.007169860706895,1,Expired,-494,Over 8 yrs,2023-08
Van,37808,Average,0,3,Petrol,115557,2023-12-25,2024-10-26,First,2,19.57604580572438,1,Expired,-512,2-3 yrs,2023-12
Van,70553,Average,2,10,Diesel,127037,2023-10-22,2024-08-14,Third,1,17.830175806265316,1,Expired,-585,Over 8 yrs,2023-10
Truck,73343,Poor,5,2,Electric,59857,2023-07-26,2026-01-23,Second,2,15.758918889855355,1,Expired,-58,1-2 yrs,2023-07
Bus,46215,Average,1,6,Diesel,17543,2024-01-25,2024-10-22,Second,2,15.69924494434027,1,Expired,-516,5-8 yrs,2024-01
Motorcycle,67261,Poor,2,8,Electric,42837,2023-11-30,2025-04-28,Second,2,12.955652351887506,1,Expired,-328,5-8 yrs,2023-11
Suv,62166,Good,3,2,Petrol,138062,2023-06-20,2025-03-07,First,1,16.364930684192693,1,Expired,-380,1-2 yrs,2023-06
Van,31488,Good,3,10,Electric,74876,2023-12-26,2024-10-18,First,3,16.29241727393191,1,Expired,-520,Over 8 yrs,2023-12
Motorcycle,58894,Good,2,7,Electric,31551,2024-01-08,2024-11-03,First,1,10.767684969545638,1,Expired,-504,5-8 yrs,2024-01
Truck,36051,Good,2,9,Diesel,29134,2024-02-18,2026-01-21,First,0,14.75172259226462,1,Expired,-60,Over 8 yrs,2024-02
Truck,36248,Good,5,6,Diesel,130093,2023-12-12,2025-06-12,First,3,12.462210705367337,1,Expired,-283,5-8 yrs,2023-12
Motorcycle,71138,Poor,0,3,Electric,76175,2023-11-03,2024-08-23,Third,0,13.067779287695538,1,Expired,-576,2-3 yrs,2023-11
Suv,50978,Good,0,1,Electric,3073,2024-01-26,2024-11-01,Second,0,11.7108971059839,0,Expired,-506,Under 1 yr,2024-01
Motorcycle,40622,Good,5,10,Electric,90079,2023-08-21,2024-06-04,Third,1,17.493788725381567,1,Expired,-656,Over 8 yrs,2023-08
Car,77026,Poor,0,5,Diesel,25259,2023-05-05,2025-08-21,First,3,16.095114492177608,1,Expired,-213,3-5 yrs,2023-05
Motorcycle,31968,Good,0,1,Diesel,35299,2023-05-22,2025-03-31,Second,2,10.894890961640616,1,Expired,-356,Under 1 yr,2023-05
Van,74433,Average,4,10,Electric,145679,2023-04-01,2026-01-18,Second,2,19.21368016131555,1,Expired,-63,Over 8 yrs,2023-04
Car,45688,Poor,5,9,Electric,9054,2023-10-19,2024-12-08,First,1,18.04092205281441,1,Expired,-469,Over 8 yrs,2023-10
Car,78209,Average,0,4,Diesel,45994,2023-11-24,2025-03-24,First,2,14.296702673378745,0,Expired,-363,3-5 yrs,2023-11
Van,51487,Good,5,8,Diesel,29547,2023-08-28,2024-09-05,Third,3,15.39548558884536,1,Expired,-563,5-8 yrs,2023-08
Car,52126,Good,0,7,Electric,122153,2023-06-15,2024-09-02,Third,3,11.05103021998263,1,Expired,-566,5-8 yrs,2023-06
Car,49535,Good,0,5,Electric,31315,2023-05-28,2025-03-08,Third,2,18.50074478897995,0,Expired,-379,3-5 yrs,2023-05
Van,61045,Good,0,7,Electric,23865,2023-09-13,2025-08-03,First,2,18.297583503001892,1,Expired,-231,5-8 yrs,2023-09
Motorcycle,60440,Average,4,7,Petrol,38684,2023-09-30,2025-02-21,Third,1,13.575805823193924,1,Expired,-394,5-8 yrs,2023-09
Motorcycle,73210,Average,0,9,Electric,121122,2023-07-25,2024-06-20,Third,3,15.624582567961378,1,Expired,-640,Over 8 yrs,2023-07
Bus,66445,Poor,3,5,Diesel,56231,2023-06-05,2024-06-03,Second,1,15.606944696847382,1,Expired,-657,3-5 yrs,2023-06
Van,59388,Good,5,4,Diesel,50472,2024-01-17,2025-12-02,First,1,18.970313099195906,1,Expired,-110,3-5 yrs,2024-01
Motorcycle,61888,Good,5,5,Diesel,86279,2024-02-22,2024-09-24,Third,2,19.51040895815779,1,Expired,-544,3-5 yrs,2024-02
Car,45925,Poor,1,9,Electric,12824,2023-12-03,2025-07-20,Third,3,14.203909812584808,1,Expired,-245,Over 8 yrs,2023-12
Bus,44497,Poor,5,9,Electric,71520,2023-05-12,2024-07-28,Third,2,14.780703812340864,1,Expired,-602,Over 8 yrs,2023-05
Bus,63165,Average,0,10,Electric,91664,2023-05-13,2024-05-11,Third,2,16.76875122270514,1,Expired,-680,Over 8 yrs,2023-05
Truck,45708,Average,3,4,Electric,34131,2023-05-24,2024-10-01,Second,0,11.940270194658346,1,Expired,-537,3-5 yrs,2023-05
Motorcycle,77500,Good,0,5,Petrol,88644,2023-04-05,2025-11-18,Second,1,19.076243307445353,0,Expired,-124,3-5 yrs,2023-04
Van,62600,Average,4,5,Petrol,146131,2023-04-30,2026-02-28,Third,0,16.893005951253762,1,Expired,-22,3-5 yrs,2023-04
Motorcycle,44832,Average,3,9,Electric,55962,2023-04-17,2025-05-20,First,2,15.07604497722743,1,Expired,-306,Over 8 yrs,2023-04
Van,57006,Poor,4,8,Petrol,10882,2023-08-22,2025-02-14,Second,3,10.480249610488016,1,Expired,-401,5-8 yrs,2023-08
Van,56550,Good,2,6,Diesel,133705,2024-02-03,2025-07-18,First,3,13.00780605816708,1,Expired,-247,5-8 yrs,2024-02
Suv,70380,Good,4,1,Electric,134871,2023-11-25,2024-10-28,First,1,18.281360765292085,1,Expired,-510,Under 1 yr,2023-11
Car,50109,Average,2,10,Petrol,36035,2023-11-05,2025-09-04,First,3,14.00890952258789,0,Expired,-199,Over 8 yrs,2023-11
Car,61753,Poor,4,9,Diesel,68697,2024-01-21,2025-03-10,First,3,14.400815596485993,1,Expired,-377,Over 8 yrs,2024-01
Van,61024,Good,0,1,Electric,56062,2023-07-02,2026-03-22,Third,0,10.83736296999612,0,Active,0,Under 1 yr,2023-07
Suv,42048,Average,4,6,Petrol,60898,2023-04-15,2024-05-07,Third,1,14.677717710923472,1,Expired,-684,5-8 yrs,2023-04
Truck,77013,Poor,4,1,Petrol,18438,2024-02-22,2024-06-21,Third,0,18.226589836692632,1,Expired,-639,Under 1 yr,2024-02
Motorcycle,34841,Average,2,1,Electric,146581,2023-05-22,2025-05-07,First,0,15.13607714314015,0,Expired,-319,Under 1 yr,2023-05
Suv,65788,Average,3,9,Diesel,28715,2023-10-21,2024-12-28,First,1,19.14749223754703,1,Expired,-449,Over 8 yrs,2023-10
Bus,61817,Poor,4,2,Diesel,2514,2023-04-08,2024-05-07,First,0,11.853098160205011,1,Expired,-684,1-2 yrs,2023-04
Car,40859,Poor,0,9,Petrol,74852,2023-07-09,2025-02-06,First,1,15.288471729325025,0,Expired,-409,Over 8 yrs,2023-07
Truck,32437,Good,5,8,Petrol,149899,2023-05-10,2025-06-25,Third,0,18.508562686306753,1,Expired,-270,5-8 yrs,2023-05
Bus,43461,Good,1,3,Petrol,100130,2023-07-02,2025-06-21,First,3,11.135315499387158,0,Expired,-274,2-3 yrs,2023-07
Car,54933,Poor,5,3,Electric,126785,2024-02-12,2025-01-16,Second,1,15.43661304859226,1,Expired,-430,2-3 yrs,2024-02
Van,68652,Average,5,8,Petrol,95998,2023-10-06,2026-03-25,Third,1,16.333867852783168,1,Active,3,5-8 yrs,2023-10
Truck,38974,Average,0,4,Diesel,30505,2023-06-03,2024-12-01,Third,1,11.582736725366637,1,Expired,-476,3-5 yrs,2023-06
Van,66083,Poor,2,6,Diesel,42473,2023-09-03,2025-10-10,Third,1,12.048292494153976,1,Expired,-163,5-8 yrs,2023-09
Truck,56494,Poor,4,2,Diesel,17969,2023-11-07,2024-05-15,Third,3,11.79798788773409,1,Expired,-676,1-2 yrs,2023-11
Van,63226,Poor,1,3,Petrol,95599,2024-01-15,2025-11-06,First,3,10.336039469435224,1,Expired,-136,2-3 yrs,2024-01
Car,79405,Poor,1,10,Petrol,49788,2023-05-29,2026-01-25,Second,1,10.153529873729598,0,Expired,-56,Over 8 yrs,2023-05
Suv,40971,Good,0,9,Electric,95175,2023-11-12,2024-09-03,Second,3,14.25369010310298,0,Expired,-565,Over 8 yrs,2023-11
Van,79067,Good,4,3,Electric,14634,2023-09-07,2024-12-12,First,3,12.783378549894245,1,Expired,-465,2-3 yrs,2023-09
Suv,40331,Good,0,1,Petrol,34537,2023-06-09,2026-02-04,First,1,19.50256840761938,0,Expired,-46,Under 1 yr,2023-06
Suv,39585,Good,2,9,Diesel,116506,2023-06-28,2024-06-30,First,0,14.909019546421192,0,Expired,-630,Over 8 yrs,2023-06
Car,40411,Good,5,9,Petrol,7201,2023-08-22,2024-08-13,Third,1,19.56727018462715,1,Expired,-586,Over 8 yrs,2023-08
Suv,73400,Poor,1,4,Electric,143722,2023-09-20,2025-05-15,First,0,17.267204649691283,1,Expired,-311,3-5 yrs,2023-09
Van,35346,Poor,3,1,Diesel,15327,2023-08-06,2024-07-22,Third,2,12.942988760010136,1,Expired,-608,Under 1 yr,2023-08
Car,45695,Poor,5,9,Diesel,53660,2023-07-10,2024-10-30,First,1,18.77187052408024,1,Expired,-508,Over 8 yrs,2023-07
Bus,71090,Poor,0,5,Petrol,112579,2023-09-14,2026-01-10,Second,2,16.92109399764894,1,Expired,-71,3-5 yrs,2023-09
Suv,65221,Poor,5,1,Diesel,123366,2023-10-10,2024-11-27,Second,1,13.899772184862185,1,Expired,-480,Under 1 yr,2023-10
Van,63277,Average,0,5,Petrol,113834,2023-10-16,2024-09-25,Second,0,11.61964473119365,1,Expired,-543,3-5 yrs,2023-10
Car,57753,Average,5,2,Electric,69622,2023-04-03,2025-05-14,Second,3,13.35529026834183,1,Expired,-312,1-2 yrs,2023-04
Motorcycle,48894,Poor,5,5,Petrol,114101,2023-08-21,2024-08-30,Third,1,13.378412348747544,1,Expired,-569,3-5 yrs,2023-08
Bus,76193,Poor,3,9,Petrol,98733,2023-08-22,2026-01-14,First,2,12.964698020383144,1,Expired,-67,Over 8 yrs,2023-08
Truck,30845,Poor,2,1,Petrol,58024,2023-04-11,2025-09-04,First,3,15.996824663843126,1,Expired,-199,Under 1 yr,2023-04
Motorcycle,40760,Good,2,8,Petrol,98842,2024-01-20,2025-12-22,Second,3,12.098816706400369,1,Expired,-90,5-8 yrs,2024-01
Suv,55600,Average,2,5,Diesel,42721,2024-01-13,2024-08-09,Second,0,17.591731264548976,0,Expired,-590,3-5 yrs,2024-01
Suv,46380,Average,0,3,Electric,145079,2023-12-07,2025-03-01,Third,1,14.336614549694469,1,Expired,-386,2-3 yrs,2023-12
Bus,51248,Good,1,6,Petrol,118666,2024-02-15,2026-01-13,Second,0,14.85946698160075,0,Expired,-68,5-8 yrs,2024-02
Suv,45427,Average,1,9,Petrol,8602,2024-02-12,2026-01-23,Second,2,15.662788134625323,1,Expired,-58,Over 8 yrs,2024-02
Truck,68744,Average,5,7,Petrol,120218,2023-10-15,2026-03-15,First,3,17.445449763535937,1,Expired,-7,5-8 yrs,2023-10
Van,34001,Average,3,6,Electric,139702,2023-09-11,2025-07-12,Second,2,12.261193827507942,1,Expired,-253,5-8 yrs,2023-09
Car,43023,Poor,3,6,Diesel,46685,2023-11-21,2025-04-14,First,3,10.657793999163296,1,Expired,-342,5-8 yrs,2023-11
Bus,46572,Poor,1,10,Petrol,99401,2023-10-31,2024-12-07,Third,2,15.341126543794392,1,Expired,-470,Over 8 yrs,2023-10
Motorcycle,63544,Average,4,1,Petrol,123039,2024-01-24,2025-01-07,First,3,15.09247956811372,1,Expired,-439,Under 1 yr,2024-01
Truck,49183,Poor,1,5,Electric,35120,2023-06-25,2026-02-26,Second,3,13.068112448408703,1,Expired,-24,3-5 yrs,2023-06
Motorcycle,68317,Poor,5,5,Diesel,40997,2024-02-08,2025-11-04,Third,2,16.297703988905937,1,Expired,-138,3-5 yrs,2024-02
Van,36296,Average,4,6,Electric,114921,2023-10-12,2024-05-17,First,0,19.266159959930093,1,Expired,-674,5-8 yrs,2023-10
Suv,34929,Good,0,6,Petrol,111595,2023-08-28,2025-01-04,Third,1,18.334594520907626,1,Expired,-442,5-8 yrs,2023-08
Truck,32865,Average,0,8,Petrol,85667,2024-02-06,2026-03-22,First,2,15.028396745690603,1,Active,0,5-8 yrs,2024-02
Truck,51881,Average,1,10,Diesel,53621,2023-10-01,2025-07-11,Third,2,10.352840064571804,1,Expired,-254,Over 8 yrs,2023-10
Bus,47586,Poor,1,9,Diesel,56365,2024-01-13,2026-02-18,First,2,12.780299944629732,1,Expired,-32,Over 8 yrs,2024-01
Van,39971,Average,4,2,Electric,48752,2023-06-06,2025-12-05,Third,2,17.208919730205757,1,Expired,-107,1-2 yrs,2023-06
Suv,54099,Good,1,8,Electric,5738,2023-10-26,2026-01-21,Third,0,13.52863606367903,0,Expired,-60,5-8 yrs,2023-10
Motorcycle,37869,Average,3,8,Diesel,148958,2023-10-30,2025-11-24,Third,0,12.749733955073156,1,Expired,-118,5-8 yrs,2023-10
Car,62328,Poor,1,10,Electric,94775,2023-09-11,2024-05-13,Third,1,19.49306721488681,1,Expired,-678,Over 8 yrs,2023-09
Suv,59174,Average,3,10,Diesel,25358,2023-07-27,2025-04-30,First,2,19.54663499053462,1,Expired,-326,Over 8 yrs,2023-07
Van,37109,Poor,2,2,Petrol,8367,2023-09-13,2024-05-09,Third,2,11.880976420752042,1,Expired,-682,1-2 yrs,2023-09
Truck,64605,Good,0,7,Electric,117210,2023-12-24,2024-11-11,First,3,15.365558228718497,1,Expired,-496,5-8 yrs,2023-12
Suv,32618,Average,0,8,Electric,134211,2023-05-07,2024-07-25,First,1,13.116605075575242,0,Expired,-605,5-8 yrs,2023-05
Car,39780,Poor,4,10,Petrol,42050,2024-01-17,2025-08-06,Second,0,15.978133977317867,1,Expired,-228,Over 8 yrs,2024-01
Motorcycle,62234,Average,2,2,Petrol,126239,2023-10-19,2026-03-18,First,3,12.117901461912409,0,Expired,-4,1-2 yrs,2023-10
Suv,39303,Good,3,1,Electric,78181,2023-08-17,2025-04-20,Second,3,13.98283661323005,0,Expired,-336,Under 1 yr,2023-08
Bus,67670,Good,4,6,Electric,39924,2023-11-23,2025-07-20,First,3,15.66001145090462,1,Expired,-245,5-8 yrs,2023-11
Truck,32357,Good,1,5,Electric,14696,2023-06-04,2024-12-16,Second,0,13.448187875485736,1,Expired,-461,3-5 yrs,2023-06
Car,38494,Poor,2,8,Electric,52922,2023-12-22,2026-01-30,Second,1,14.100366906444648,1,Expired,-51,5-8 yrs,2023-12
Motorcycle,46752,Poor,1,4,Diesel,35982,2023-11-10,2025-06-05,Second,2,18.19760035884841,1,Expired,-290,3-5 yrs,2023-11
Bus,47174,Good,2,8,Electric,120685,2023-06-05,2025-06-12,Second,0,12.588810884708437,0,Expired,-283,5-8 yrs,2023-06
Truck,51239,Poor,2,5,Petrol,77785,2023-07-13,2024-10-06,Second,2,15.257505536258542,1,Expired,-532,3-5 yrs,2023-07
Car,67696,Average,3,4,Diesel,23478,2023-09-25,2025-03-02,Second,0,12.034397956094772,1,Expired,-385,3-5 yrs,2023-09
Bus,72991,Average,2,4,Electric,128427,2023-06-05,2025-07-07,Second,3,17.088570720599655,0,Expired,-258,3-5 yrs,2023-06
Truck,61753,Average,0,9,Petrol,126401,2023-11-17,2026-03-17,Second,0,18.75021248586024,1,Expired,-5,Over 8 yrs,2023-11
Motorcycle,35037,Poor,1,1,Diesel,40455,2023-10-13,2025-06-04,Third,3,10.9138014147998,1,Expired,-291,Under 1 yr,2023-10
Bus,78114,Poor,4,2,Diesel,122659,2023-12-24,2025-07-16,Second,0,14.21772739346492,1,Expired,-249,1-2 yrs,2023-12
Bus,39297,Good,5,5,Electric,82783,2023-12-10,2025-09-28,Second,3,12.96154592334333,1,Expired,-175,3-5 yrs,2023-12
Suv,60225,Poor,2,10,Electric,20177,2024-01-12,2024-12-09,Third,2,15.119115448803548,1,Expired,-468,Over 8 yrs,2024-01
